Latitude,Longitude,Location,Municipality,Month,Region,Year,Crash Count
48.414079,-123.356722,COOK ST & OXFORD ST,VICTORIA,JULY,Vancouver Island,2020,1
48.418897,-123.347904,MOSS ST & RICHARDSON ST,VICTORIA,AUGUST,Vancouver Island,2018,1
48.420527,-123.363847,BLANSHARD ST & HUMBOLDT ST,VICTORIA,AUGUST,Vancouver Island,2021,1
48.425116,-123.369811,FORT ST & WHARF ST,VICTORIA,APRIL,Vancouver Island,2017,1
48.426551,-123.338147,BELMONT AVE & PANDORA AVE,VICTORIA,NOVEMBER,Vancouver Island,2019,1
48.427148,-123.353273,COOK ST & PANDORA AVE,VICTORIA,NOVEMBER,Vancouver Island,2020,1
48.427211,-123.335615,FORT ST,VICTORIA,SEPTEMBER,Vancouver Island,2018,1
48.427619,-123.360456,AMELIA ST & PANDORA AVE,VICTORIA,JUNE,Vancouver Island,2019,1
48.427619,-123.360456,AMELIA ST & PANDORA AVE,VICTORIA,MAY,Vancouver Island,2018,1
48.428478,-123.369672,PANDORA AVE & STORE ST & WHARF ST,VICTORIA,JUNE,Vancouver Island,2020,1
48.432869,-123.38475,CATHERINE ST & WILSON ST,VICTORIA,FEBRUARY,Vancouver Island,2018,1
48.433185,-123.333669,ALBERT AVE & SHELBOURNE ST,VICTORIA,DECEMBER,Vancouver Island,2019,1
48.438273,-123.504515,GALLOPING GOOSE TRAIL & KELLY RD & VETERANS MEMORIAL PKY & TURNING LANE,LANGFORD,JULY,Vancouver Island,2018,1
48.446279,-123.361152,FINLAYSON ST & QUADRA ST,VICTORIA,OCTOBER,Vancouver Island,2019,1
48.446444,-123.359799,FIFTH ST & FINLAYSON ST,VICTORIA,JUNE,Vancouver Island,2017,1
48.446444,-123.359799,FIFTH ST & FINLAYSON ST,VICTORIA,OCTOBER,Vancouver Island,2017,1
48.449031,-123.374864,GALLOPING GOOSE TRAIL & KELVIN RD,SAANICH,FEBRUARY,Vancouver Island,2020,1
